,Forks,Full_Name,Language,Name,PRs_count,Project_ID,Stars,Watchers
36,8840.0,trimstray/the-book-of-secret-knowledge,,the-book-of-secret-knowledge,264.0,138393139.0,130267.0,130267.0
37,25000.0,AUTOMATIC1111/stable-diffusion-webui,Python,stable-diffusion-webui,2908.0,527591471.0,130087.0,130087.0
38,9668.0,ytdl-org/youtube-dl,Python,youtube-dl,4907.0,1039520.0,128583.0,128583.0
39,24839.0,huggingface/transformers,Python,transformers,15564.0,155220641.0,125309.0,125309.0
40,23097.0,labuladong/fucking-algorithm,Markdown,fucking-algorithm,494.0,241576270.0,123453.0,123453.0
41,11594.0,avelino/awesome-go,Go,awesome-go,4550.0,21540759.0,121115.0,121115.0
42,25825.0,vercel/next.js,JavaScript,next.js,21467.0,70107786.0,120773.0,120773.0
43,17194.0,golang/go,Go,go,3898.0,23096959.0,119724.0,119724.0
44,11863.0,Chalarangelo/30-seconds-of-code,JavaScript,30-seconds-of-code,1605.0,112507086.0,119307.0,119307.0
45,23954.0,facebook/react-native,C++,react-native,16894.0,29028775.0,115986.0,115986.0
46,14929.0,electron/electron,C++,electron,21677.0,9384267.0,112020.0,112020.0
47,13896.0,yangshun/tech-interview-handbook,TypeScript,tech-interview-handbook,536.0,62607227.0,110390.0,110390.0
48,28092.0,justjavac/free-programming-books-zh_CN,,free-programming-books-zh_CN,464.0,14098069.0,109215.0,109215.0
49,22912.0,d3/d3,Shell,d3,1172.0,943149.0,107679.0,107679.0
50,38445.0,kubernetes/kubernetes,Go,kubernetes,79269.0,20580498.0,106906.0,106906.0
51,6154.0,microsoft/PowerToys,C#,PowerToys,5197.0,184456251.0,104501.0,104501.0
52,10719.0,axios/axios,JavaScript,axios,1597.0,23088740.0,104059.0,104059.0
53,27917.0,nodejs/node,JavaScript,node,33233.0,27193779.0,103919.0,103919.0
54,14008.0,f/awesome-chatgpt-prompts,HTML,awesome-chatgpt-prompts,570.0,574523116.0,103792.0,103792.0
55,9955.0,Genymobile/scrcpy,C,scrcpy,434.0,111583593.0,102213.0,102213.0
56,26590.0,facebook/create-react-app,JavaScript,create-react-app,4264.0,63537249.0,101899.0,101899.0
57,35089.0,mrdoob/three.js,JavaScript,three.js,15764.0,576201.0,98978.0,98978.0
58,12187.0,microsoft/TypeScript,TypeScript,TypeScript,17473.0,20929025.0,98061.0,98061.0
59,9808.0,goldbergyoni/nodebestpractices,Dockerfile,nodebestpractices,954.0,103633984.0,96386.0,96386.0
60,24634.0,angular/angular,TypeScript,angular,27041.0,24195339.0,94587.0,94587.0
61,8096.0,microsoft/terminal,C++,terminal,4162.0,100060912.0,93575.0,93575.0
62,12010.0,rust-lang/rust,Rust,rust,71744.0,724712.0,93095.0,93095.0
63,5135.0,denoland/deno,Rust,deno,12697.0,133442384.0,92977.0,92977.0
64,31490.0,mui/material-ui,TypeScript,material-ui,22048.0,23083156.0,91687.0,91687.0
65,46028.0,ant-design/ant-design,TypeScript,ant-design,17058.0,34526884.0,90271.0,90271.0
66,12029.0,ryanmcdermott/clean-code-javascript,JavaScript,clean-code-javascript,283.0,74791366.0,89721.0,89721.0
67,12115.0,GrowingGit/GitHub-Chinese-Top-Charts,Java,GitHub-Chinese-Top-Charts,25.0,206462776.0,89179.0,89179.0
68,8971.0,puppeteer/puppeteer,TypeScript,puppeteer,5565.0,90796663.0,86830.0,86830.0
69,25901.0,iluwatar/java-design-patterns,Java,java-design-patterns,1981.0,22790488.0,86509.0,86509.0
70,30309.0,PanJiaChen/vue-element-admin,Vue,vue-element-admin,586.0,88464704.0,86430.0,86430.0
71,9428.0,521xueweihan/HelloGitHub,Python,HelloGitHub,42.0,58028038.0,85080.0,85080.0
72,9140.0,ripienaar/free-for-dev,HTML,free-for-dev,3207.0,32484381.0,84018.0,84018.0
73,18273.0,godotengine/godot,C++,godot,40851.0,15634981.0,83833.0,83833.0
74,12883.0,langchain-ai/langchain,Python,langchain,11925.0,552661142.0,83792.0,83792.0
75,5612.0,papers-we-love/papers-we-love,Shell,papers-we-love,511.0,15204860.0,83550.0,83550.0
76,3399.0,nvbn/thefuck,Python,thefuck,689.0,33614304.0,82876.0,82876.0
77,9015.0,storybookjs/storybook,TypeScript,storybook,12195.0,54173593.0,82869.0,82869.0
78,12179.0,microsoft/Web-Dev-For-Beginners,JavaScript,Web-Dev-For-Beginners,839.0,311525798.0,81508.0,81508.0
79,12679.0,fatedier/frp,Go,frp,857.0,48378947.0,79954.0,79954.0
80,16232.0,animate-css/animate.css,CSS,animate.css,869.0,2561582.0,79786.0,79786.0
81,3945.0,tailwindlabs/tailwindcss,TypeScript,tailwindcss,2614.0,106017343.0,78538.0,78538.0
82,7175.0,gothinkster/realworld,TypeScript,realworld,816.0,52631841.0,78316.0,78316.0
83,1774.0,iptv-org/iptv,JavaScript,iptv,6853.0,157616880.0,78289.0,78289.0
84,21075.0,pytorch/pytorch,Python,pytorch,83401.0,65600975.0,78049.0,78049.0
85,2274.0,tauri-apps/tauri,Rust,tauri,4350.0,196701619.0,77505.0,77505.0
86,8709.0,Hack-with-Github/Awesome-Hacking,,Awesome-Hacking,104.0,55076063.0,77472.0,77472.0
87,30806.0,django/django,Python,django,18062.0,4164482.0,76867.0,76867.0
88,7329.0,mtdvio/every-programmer-should-know,,every-programmer-should-know,164.0,101296881.0,76857.0,76857.0
89,23870.0,laravel/laravel,PHP,laravel,4734.0,1863329.0,76845.0,76845.0
90,5294.0,neovim/neovim,Vim Script,neovim,17124.0,16408992.0,76673.0,76673.0
91,45862.0,tensorflow/models,Python,models,3796.0,51117837.0,76611.0,76611.0
92,3952.0,sveltejs/svelte,JavaScript,svelte,4822.0,74293321.0,76583.0,76583.0
93,35331.0,bitcoin/bitcoin,C++,bitcoin,20661.0,1181927.0,76090.0,76090.0
94,7651.0,nvm-sh/nvm,Shell,nvm,1065.0,612230.0,75790.0,75790.0
95,55607.0,opencv/opencv,C++,opencv,14879.0,5108051.0,75683.0,75683.0
96,7835.0,gin-gonic/gin,Go,gin,1724.0,20904437.0,75571.0,75571.0
97,9512.0,krahets/hello-algo,Java,hello-algo,965.0,561730219.0,75552.0,75552.0
98,28303.0,macrozheng/mall,Java,mall,120.0,127988011.0,75490.0,75490.0
99,3052.0,tonsky/FiraCode,Clojure,FiraCode,186.0,26500787.0,75360.0,75360.0
100,9169.0,florinpop17/app-ideas,,app-ideas,665.0,172562475.0,75023.0,75023.0
101,13972.0,MisterBooo/LeetCodeAnimation,Java,LeetCodeAnimation,76.0,160640094.0,74991.0,74991.0
102,18849.0,doocs/advanced-java,Java,advanced-java,118.0,151834062.0,74337.0,74337.0
103,6571.0,excalidraw/excalidraw,TypeScript,excalidraw,4448.0,231283452.0,73214.0,73214.0
104,7215.0,massgravel/Microsoft-Activation-Scripts,Batchfile,Microsoft-Activation-Scripts,24.0,233472199.0,73112.0,73112.0
105,12179.0,FortAwesome/Font-Awesome,JavaScript,Font-Awesome,684.0,3470471.0,73039.0,73039.0
106,40054.0,spring-projects/spring-boot,Java,spring-boot,6213.0,6296790.0,72857.0,72857.0
107,7322.0,gohugoio/hugo,Go,hugo,5112.0,11180687.0,72598.0,72598.0
108,6108.0,jaywcjlove/awesome-mac,JavaScript,awesome-mac,979.0,63539055.0,71473.0,71473.0
109,6867.0,typicode/json-server,JavaScript,json-server,392.0,14747598.0,71254.0,71254.0
110,5969.0,tiangolo/fastapi,Python,fastapi,3224.0,160919119.0,71099.0,71099.0
111,5652.0,yt-dlp/yt-dlp,Python,yt-dlp,2733.0,307260205.0,71032.0,71032.0
112,9416.0,vuejs/awesome-vue,,awesome-vue,3846.0,44571718.0,70988.0,70988.0
113,2444.0,oven-sh/bun,Zig,bun,3662.0,357728969.0,70732.0,70732.0
114,28052.0,home-assistant/core,Python,core,67501.0,12888993.0,68714.0,68714.0
115,55293.0,ChatGPTNextWeb/ChatGPT-Next-Web,TypeScript,ChatGPT-Next-Web,1715.0,612344730.0,68314.0,68314.0
116,5720.0,netdata/netdata,C,netdata,9378.0,10744183.0,68226.0,68226.0
117,18534.0,moby/moby,Go,moby,24805.0,7691631.0,67763.0,67763.0
118,24130.0,elastic/elasticsearch,Java,elasticsearch,72937.0,507775.0,67672.0,67672.0
119,6349.0,thedaviddias/Front-End-Checklist,,Front-End-Checklist,301.0,107111421.0,67481.0,67481.0
120,2173.0,base-org/node,Shell,node,120.0,596115135.0,67308.0,67308.0
121,8664.0,DopplerHQ/awesome-interview-questions,,awesome-interview-questions,232.0,47018239.0,67283.0,67283.0
122,5783.0,mermaid-js/mermaid,JavaScript,mermaid,2431.0,26066727.0,67098.0,67098.0
123,13610.0,microsoft/ML-For-Beginners,HTML,ML-For-Beginners,479.0,343965132.0,67013.0,67013.0
124,16593.0,hakimel/reveal.js,JavaScript,reveal.js,1066.0,1861458.0,66954.0,66954.0
125,15937.0,pallets/flask,Python,flask,2540.0,596892.0,66413.0,66413.0
126,6187.0,supabase/supabase,TypeScript,supabase,10121.0,214587193.0,66175.0,66175.0
127,10206.0,apple/swift,C++,swift,54767.0,44838949.0,65979.0,65979.0
128,9839.0,CompVis/stable-diffusion,Jupyter Notebook,stable-diffusion,147.0,523379232.0,65491.0,65491.0
129,5346.0,coder/code-server,TypeScript,code-server,1834.0,172953845.0,65362.0,65362.0
130,8941.0,Developer-Y/cs-video-courses,,cs-video-courses,186.0,71583602.0,64941.0,64941.0
131,23466.0,redis/redis,C,redis,6519.0,156018.0,64890.0,64890.0
132,20775.0,anuraghazra/github-readme-stats,JavaScript,github-readme-stats,2184.0,278335273.0,64883.0,64883.0
133,5749.0,vitejs/vite,TypeScript,vite,5688.0,257485422.0,64873.0,64873.0
134,7138.0,nomic-ai/gpt4all,C++,gpt4all,673.0,619959033.0,64717.0,64717.0
135,7391.0,nestjs/nest,TypeScript,nest,7933.0,80945428.0,64449.0,64449.0
136,8724.0,webpack/webpack,JavaScript,webpack,6759.0,3678731.0,64180.0,64180.0
137,14117.0,fighting41love/funNLP,Python,funNLP,25.0,145553672.0,64174.0,64174.0
138,6774.0,MunGell/awesome-for-beginners,,awesome-for-beginners,1237.0,44882201.0,63947.0,63947.0
139,13778.0,expressjs/express,JavaScript,express,1316.0,237159.0,63826.0,63826.0
140,15267.0,protocolbuffers/protobuf,C++,protobuf,10421.0,23357588.0,63713.0,63713.0
141,13961.0,bregman-arie/devops-exercises,Python,devops-exercises,356.0,212639071.0,63638.0,63638.0
142,14471.0,josephmisiti/awesome-machine-learning,Python,awesome-machine-learning,887.0,21872392.0,63574.0,63574.0
143,11865.0,chartjs/Chart.js,JavaScript,Chart.js,3785.0,8843683.0,63498.0,63498.0
144,6915.0,rustdesk/rustdesk,Rust,rustdesk,2825.0,299354207.0,63237.0,63237.0
145,5219.0,FuelLabs/sway,Rust,sway,3166.0,331107018.0,63156.0,63156.0
146,4500.0,ollama/ollama,Go,ollama,1455.0,658928958.0,62796.0,62796.0
147,7048.0,enaqx/awesome-react,,awesome-react,1284.0,22670857.0,61989.0,61989.0
148,8664.0,leonardomso/33-js-concepts,JavaScript,33-js-concepts,402.0,147350463.0,61917.0,61917.0
149,3309.0,microsoft/playwright,TypeScript,playwright,14013.0,221981891.0,61849.0,61849.0
150,12721.0,kdn251/interviews,Java,interviews,168.0,81975372.0,61671.0,61671.0
151,1338.0,resume/resume.github.com,JavaScript,resume.github.com,183.0,1334369.0,61438.0,61438.0
152,10582.0,2dust/v2rayN,C#,v2rayN,265.0,199570071.0,61409.0,61409.0
153,12166.0,twitter/the-algorithm,Scala,the-algorithm,528.0,619859161.0,61392.0,61392.0
154,23696.0,ansible/ansible,Python,ansible,50669.0,3638964.0,61184.0,61184.0
155,19343.0,keras-team/keras,Python,keras,7155.0,33015583.0,60965.0,60965.0
156,6950.0,openai/whisper,Python,whisper,220.0,537603333.0,60580.0,60580.0
157,15261.0,reduxjs/redux,TypeScript,redux,2527.0,36535156.0,60472.0,60472.0
158,11572.0,grafana/grafana,TypeScript,grafana,48886.0,15111821.0,60468.0,60468.0
159,7531.0,strapi/strapi,TypeScript,strapi,10134.0,43441403.0,60244.0,60244.0
160,4176.0,hoppscotch/hoppscotch,TypeScript,hoppscotch,2280.0,203587744.0,60196.0,60196.0
161,10068.0,socketio/socket.io,TypeScript,socket.io,853.0,557980.0,60192.0,60192.0
162,8231.0,Anduin2017/HowToCook,Shell,HowToCook,672.0,243950408.0,60191.0,60191.0
163,17374.0,atom/atom,JavaScript,atom,5280.0,3228505.0,59980.0,59980.0
164,2300.0,junegunn/fzf,Go,fzf,867.0,13807606.0,59874.0,59874.0
165,28926.0,python/cpython,Python,cpython,50411.0,81598961.0,59689.0,59689.0
166,8523.0,lydiahallie/javascript-questions,,javascript-questions,515.0,191529732.0,59628.0,59628.0
167,4011.0,syncthing/syncthing,Go,syncthing,4069.0,14712850.0,59606.0,59606.0
168,11268.0,adam-p/markdown-here,JavaScript,markdown-here,82.0,4311796.0,59485.0,59485.0
169,4708.0,kelseyhightower/nocode,Dockerfile,nocode,620.0,120538304.0,59431.0,59431.0
170,17804.0,xingshaocheng/architect-awesome,,architect-awesome,81.0,128398636.0,59251.0,59251.0
171,19549.0,apache/echarts,TypeScript,echarts,1786.0,9185792.0,59011.0,59011.0
172,11018.0,h5bp/Front-end-Developer-Interview-Questions,Nunjucks,Front-end-Developer-Interview-Questions,695.0,3402537.0,58982.0,58982.0
173,27565.0,angular/angular.js,JavaScript,angular.js,8000.0,460078.0,58923.0,58923.0
174,12597.0,apache/superset,TypeScript,superset,15844.0,39464018.0,58910.0,58910.0
175,20618.0,jquery/jquery,JavaScript,jquery,2987.0,167174.0,58907.0,58907.0
176,6952.0,lodash/lodash,JavaScript,lodash,1401.0,3955647.0,58904.0,58904.0
177,2684.0,FuelLabs/fuel-core,Rust,fuel-core,1119.0,290882787.0,58650.0,58650.0
178,9706.0,awesomedata/awesome-public-datasets,,awesome-public-datasets,339.0,26898879.0,58467.0,58467.0
179,24982.0,scikit-learn/scikit-learn,Python,scikit-learn,17131.0,843222.0,58170.0,58170.0
180,9075.0,tesseract-ocr/tesseract,C++,tesseract,1590.0,22887094.0,58170.0,58170.0
181,5574.0,3b1b/manim,Python,manim,800.0,32689863.0,58093.0,58093.0
182,16410.0,shadowsocks/shadowsocks-windows,C#,shadowsocks-windows,487.0,7600409.0,57944.0,57944.0
183,3842.0,ventoy/Ventoy,C,Ventoy,465.0,246335987.0,57863.0,57863.0
184,12952.0,xtekky/gpt4free,Python,gpt4free,657.0,620936652.0,57544.0,57544.0
185,3098.0,shadcn-ui/ui,TypeScript,ui,1092.0,585146387.0,57462.0,57462.0
186,8113.0,ggerganov/llama.cpp,C++,llama.cpp,3071.0,612354784.0,57265.0,57265.0
187,5827.0,ByteByteGoHq/system-design-101,,system-design-101,35.0,693342566.0,56984.0,56984.0
188,7201.0,binary-husky/gpt_academic,Python,gpt_academic,258.0,616372661.0,56945.0,56945.0
189,10451.0,d2l-ai/d2l-zh,Python,d2l-zh,1328.0,101138315.0,56916.0,56916.0
190,13991.0,swisskyrepo/PayloadsAllTheThings,Python,PayloadsAllTheThings,623.0,71220757.0,56911.0,56911.0
191,18573.0,TheAlgorithms/Java,Java,Java,3866.0,63477660.0,56784.0,56784.0
192,6823.0,chrislgarry/Apollo-11,Assembly,Apollo-11,511.0,18408635.0,56581.0,56581.0
193,7228.0,sdmg15/Best-websites-a-programmer-should-visit,,Best-websites-a-programmer-should-visit,1716.0,83999700.0,56303.0,56303.0
194,11221.0,bradtraversy/design-resources-for-developers,,design-resources-for-developers,1298.0,261787758.0,56266.0,56266.0
195,12164.0,h5bp/html5-boilerplate,JavaScript,html5-boilerplate,1695.0,486550.0,56000.0,56000.0
196,8810.0,openai/openai-cookbook,MDX,openai-cookbook,706.0,468576060.0,55996.0,55996.0
197,5770.0,sindresorhus/awesome-nodejs,,awesome-nodejs,1106.0,21737266.0,55971.0,55971.0
198,9677.0,ocornut/imgui,C++,imgui,1273.0,22067521.0,55870.0,55870.0
199,7632.0,fffaraz/awesome-cpp,,awesome-cpp,923.0,21935031.0,55696.0,55696.0
200,7552.0,obsproject/obs-studio,C,obs-studio,6449.0,13233158.0,55675.0,55675.0
201,3213.0,Eugeny/tabby,TypeScript,tabby,3959.0,77213120.0,55264.0,55264.0
202,37563.0,spring-projects/spring-framework,Java,spring-framework,4733.0,1148753.0,55165.0,55165.0
203,10355.0,gatsbyjs/gatsby,JavaScript,gatsby,22122.0,36040894.0,55019.0,55019.0
204,21312.0,rails/rails,Ruby,rails,34142.0,8514.0,54930.0,54930.0
205,14627.0,ElemeFE/element,Vue,element,5118.0,67274736.0,53958.0,53958.0
206,8077.0,prakhar1989/awesome-courses,,awesome-courses,265.0,26689598.0,53915.0,53915.0
207,3847.0,caddyserver/caddy,Go,caddy,2281.0,29207621.0,53871.0,53871.0
208,9429.0,azl397985856/leetcode,JavaScript,leetcode,309.0,127407957.0,53806.0,53806.0
209,23321.0,danielmiessler/SecLists,PHP,SecLists,731.0,3482588.0,53755.0,53755.0
210,15754.0,scutan90/DeepLearning-500-questions,JavaScript,DeepLearning-500-questions,344.0,138839979.0,53291.0,53291.0
211,5553.0,binhnguyennus/awesome-scalability,,awesome-scalability,88.0,115478820.0,53262.0,53262.0
212,9157.0,meta-llama/llama,Python,llama,181.0,601538369.0,53170.0,53170.0
213,7916.0,facebook/docusaurus,TypeScript,docusaurus,5914.0,94911145.0,52960.0,52960.0
214,2922.0,alacritty/alacritty,Rust,alacritty,2293.0,51980455.0,52850.0,52850.0
215,8750.0,prometheus/prometheus,Go,prometheus,7999.0,6838921.0,52834.0,52834.0
216,3816.0,localstack/localstack,Python,localstack,5337.0,71948498.0,52200.0,52200.0
217,4757.0,nuxt/nuxt,TypeScript,nuxt,5591.0,71995937.0,52028.0,52028.0
218,10117.0,remix-run/react-router,TypeScript,react-router,3229.0,19872456.0,51929.0,51929.0
219,9047.0,Alvin9999/new-pac,,new-pac,5.0,54544023.0,51882.0,51882.0
220,6926.0,zylon-ai/private-gpt,Python,private-gpt,392.0,635240594.0,51877.0,51877.0
221,10708.0,necolas/normalize.css,CSS,normalize.css,391.0,1700621.0,51849.0,51849.0
222,13283.0,ageitgey/face_recognition,Python,face_recognition,227.0,83844720.0,51814.0,51814.0
223,6186.0,sherlock-project/sherlock,Python,sherlock,1023.0,162998479.0,51382.0,51382.0
224,9199.0,psf/requests,Python,requests,2498.0,1362490.0,51376.0,51376.0
225,6559.0,Solido/awesome-flutter,Dart,awesome-flutter,933.0,90528830.0,51355.0,51355.0
226,3555.0,ryanoasis/nerd-fonts,CSS,nerd-fonts,543.0,27574418.0,51348.0,51348.0
227,4953.0,Semantic-Org/Semantic-UI,JavaScript,Semantic-UI,881.0,9309093.0,51004.0,51004.0
228,10330.0,scrapy/scrapy,Python,scrapy,3308.0,529502.0,50947.0,50947.0
229,8544.0,CorentinJ/Real-Time-Voice-Cloning,Python,Real-Time-Voice-Cloning,134.0,188660663.0,50816.0,50816.0
230,6584.0,gpt-engineer-org/gpt-engineer,Python,gpt-engineer,550.0,634224458.0,50572.0,50572.0
231,13523.0,ionic-team/ionic-framework,TypeScript,ionic-framework,7552.0,12256376.0,50434.0,50434.0
232,13452.0,PlexPt/awesome-chatgpt-prompts-zh,,awesome-chatgpt-prompts-zh,56.0,577116112.0,50354.0,50354.0
233,1252.0,nektos/act,Go,act,1069.0,163883279.0,50312.0,50312.0
234,25091.0,git/git,C,git,1465.0,36502.0,50096.0,50096.0
235,6215.0,PKUFlyingPig/cs-self-learning,HTML,cs-self-learning,279.0,419347358.0,50008.0,50008.0
236,9570.0,google/material-design-icons,,material-design-icons,162.0,24953448.0,49819.0,49819.0
237,4450.0,louislam/uptime-kuma,JavaScript,uptime-kuma,1447.0,382496361.0,49740.0,49740.0
238,6006.0,abi/screenshot-to-code,Python,screenshot-to-code,79.0,718741813.0,49721.0,49721.0
239,10785.0,google/guava,Java,guava,2240.0,20300177.0,49423.0,49423.0
240,9402.0,rust-lang/rustlings,Rust,rustlings,1372.0,42489829.0,49351.0,49351.0
241,9298.0,soimort/you-get,Python,you-get,1058.0,5483330.0,49278.0,49278.0
242,12905.0,deepfakes/faceswap,Python,faceswap,520.0,114747226.0,49275.0,49275.0
243,10245.0,wasabeef/awesome-android-ui,,awesome-android-ui,234.0,28428729.0,49177.0,49177.0
244,3195.0,AppFlowy-IO/AppFlowy,Dart,AppFlowy,2783.0,377496562.0,48943.0,48943.0
245,3636.0,juliangarnier/anime,JavaScript,anime,157.0,53809090.0,48725.0,48725.0
246,4233.0,OpenInterpreter/open-interpreter,Python,open-interpreter,409.0,666299222.0,48616.0,48616.0
247,3921.0,jgthms/bulma,CSS,bulma,1160.0,50264296.0,48603.0,48603.0
248,3980.0,tldr-pages/tldr,Markdown,tldr,11362.0,15019962.0,48487.0,48487.0
249,5031.0,labmlai/annotated_deep_learning_paper_implementations,Jupyter Notebook,annotated_deep_learning_paper_implementations,112.0,290091948.0,48416.0,48416.0
250,4132.0,prettier/prettier,JavaScript,prettier,9450.0,75104123.0,48315.0,48315.0
251,9881.0,jekyll/jekyll,Ruby,jekyll,4444.0,65252.0,48311.0,48311.0
252,8130.0,xai-org/grok-1,Python,grok-1,61.0,773286980.0,48095.0,48095.0
253,4848.0,traefik/traefik,Go,traefik,4819.0,42408804.0,47940.0,47940.0
254,7037.0,moment/moment,JavaScript,moment,2064.0,1424470.0,47791.0,47791.0
255,5541.0,NationalSecurityAgency/ghidra,Java,ghidra,1217.0,173228436.0,47765.0,47765.0
256,7574.0,ReactiveX/RxJava,Java,RxJava,3878.0,7508411.0,47658.0,47658.0
257,8562.0,commaai/openpilot,Python,openpilot,12525.0,74627617.0,47603.0,47603.0
258,5615.0,JetBrains/kotlin,Kotlin,kotlin,5259.0,3432266.0,47541.0,47541.0
259,10857.0,youngyangyang04/leetcode-master,Shell,leetcode-master,2328.0,228016443.0,47418.0,47418.0
260,29807.0,DefinitelyTyped/DefinitelyTyped,TypeScript,DefinitelyTyped,58740.0,6093316.0,47181.0,47181.0
261,6647.0,NARKOZ/hacker-scripts,JavaScript,hacker-scripts,145.0,46629305.0,47172.0,47172.0
262,1670.0,Textualize/rich,Python,rich,1095.0,220809393.0,47139.0,47139.0
263,15575.0,ultralytics/yolov5,Python,yolov5,2659.0,264818686.0,47055.0,47055.0
264,5403.0,lencx/ChatGPT,Rust,ChatGPT,158.0,575340621.0,46979.0,46979.0
265,2602.0,pi-hole/pi-hole,Shell,pi-hole,2475.0,20619036.0,46886.0,46886.0
266,4748.0,jgraph/drawio-desktop,JavaScript,drawio-desktop,34.0,92443980.0,46836.0,46836.0
267,9377.0,chinese-poetry/chinese-poetry,JavaScript,chinese-poetry,157.0,67186968.0,46732.0,46732.0
268,3359.0,iamadamdev/bypass-paywalls-chrome,JavaScript,bypass-paywalls-chrome,194.0,128565937.0,46691.0,46691.0
269,1159.0,sharkdp/bat,Rust,bat,1532.0,130464961.0,46606.0,46606.0
270,9591.0,etcd-io/etcd,Go,etcd,11005.0,11225014.0,46406.0,46406.0
271,9701.0,mozilla/pdf.js,JavaScript,pdf.js,8238.0,1663468.0,46323.0,46323.0
272,7250.0,algorithm-visualizer/algorithm-visualizer,JavaScript,algorithm-visualizer,252.0,58836534.0,46213.0,46213.0
273,3114.0,cypress-io/cypress,JavaScript,cypress,7461.0,31629751.0,46163.0,46163.0
274,19427.0,ethereum/go-ethereum,Go,go-ethereum,10205.0,15452919.0,46146.0,46146.0
275,5666.0,serverless/serverless,JavaScript,serverless,5445.0,34302698.0,46092.0,46092.0
276,4868.0,golang-standards/project-layout,Makefile,project-layout,130.0,102969245.0,45969.0,45969.0
277,6721.0,mastodon/mastodon,Ruby,mastodon,17272.0,52281283.0,45969.0,45969.0
278,2131.0,minimaxir/big-list-of-naughty-strings,Python,big-list-of-naughty-strings,161.0,40416236.0,45862.0,45862.0
279,2351.0,FiloSottile/mkcert,Go,mkcert,150.0,138547797.0,45810.0,45810.0
280,2241.0,iamkun/dayjs,JavaScript,dayjs,1043.0,128907699.0,45797.0,45797.0
